TimeUS,RATE-R,ATT-Roll,RATE-P,ATT-Pitch,RATE-Y,ATT-Yaw,RCOU-C1,RCOU-C2,RCOU-C3,RCOU-C4,,,,,,,,
147805857,-6.424444,1.91,-7.088706,-1.57,-1.889646,92.81,1100,1100,1100,1100,,,,,,,,
147905878,-4.090144,1.88,-4.820217,-1.61,-3.986813,92.79,1100,1100,1100,1100,,,,,,,,
148007361,2.318565,1.94,4.885429,-1.52,-2.974781,92.79,1100,1100,1100,1100,,,,,,,,
148107413,2.24089,1.98,-2.028718,-1.52,1.781896,92.82,1100,1100,1100,1100,,,,,,,,
148207409,-6.067347,1.91,-3.169563,-1.54,-6.536042,92.79,1100,1100,1100,1100,,,,,,,,
148307344,5.86797,1.96,2.234517,-1.53,-1.506893,92.8,1100,1100,1100,1100,,,,,,,,
148407561,4.224065,1.99,7.524648,-1.45,-0.3772696,92.82,1100,1100,1100,1100,,,,,,,,
148507532,0.1771386,1.97,-6.288066,-1.51,-0.6687074,92.82,1100,1100,1100,1100,,,,,,,,
148607371,1.236188,1.95,6.592508,-1.47,-3.012657,92.81,1100,1100,1100,1100,,,,,,,,
148707370,8.27534,2.04,3.813222,-1.42,5.501771,92.86,1100,1100,1100,1100,,,,,,,,
148807359,-6.480615,1.97,-2.395917,-1.45,0.007401655,92.85,1100,1100,1100,1100,,,,,,,,
148907377,3.851362,2.01,1.376931,-1.45,1.701563,92.84,1100,1100,1100,1100,,,,,,,,
149007396,1.779277,2.03,5.787797,-1.39,4.186886,92.87,1100,1100,1100,1100,,,,,,,,
149107576,-3.482206,2,-6.240785,-1.44,2.195098,92.87,1100,1100,1100,1100,,,,,,,,
149207406,-5.905449,1.97,-1.946488,-1.44,-0.6424143,92.84,1100,1100,1100,1100,,,,,,,,
149307526,5.764853,2.05,4.489235,-1.37,3.421996,92.87,1100,1100,1100,1100,,,,,,,,
149407495,-8.969682,1.99,-7.809544,-1.42,1.077264,92.88,1100,1100,1100,1100,,,,,,,,
149507390,-3.938539,1.99,-4.718617,-1.43,-2.899309,92.85,1100,1100,1100,1100,,,,,,,,
149607432,1.296764,2.05,2.527151,-1.36,1.18679,92.86,1100,1100,1100,1100,,,,,,,,
149707495,-3.614881,2.03,-5.254111,-1.38,-3.112541,92.86,1100,1100,1100,1100,,,,,,,,
149807388,-4.026479,1.99,-4.112066,-1.4,-4.445321,92.84,1100,1100,1100,1100,,,,,,,,
149907505,7.286692,2.08,7.077223,-1.31,-1.127908,92.86,1100,1100,1100,1100,,,,,,,,
150007524,-2.391994,2.06,-5.151634,-1.34,-0.7537954,92.87,1100,1100,1100,1100,,,,,,,,
150107395,0.09351835,2.03,1.00136,-1.36,-5.258403,92.85,1100,1100,1100,1100,,,,,,,,
150207564,-0.758248,2.08,2.849203,-1.3,0.7837561,92.89,1000,1000,1000,1000,,,,,,,,
150307384,0.2394296,2.09,-0.5256193,-1.32,0.4953109,92.88,1000,1000,1000,1000,,,,,,,,
150407392,0.7340618,2.09,1.085769,-1.32,0.3491635,92.89,1000,1000,1000,1000,,,,,,,,
150507371,-0.1714844,2.09,0.04057335,-1.31,0.2216603,92.89,1000,1000,1000,1000,,,,,,,,
150607391,0.07023852,2.1,0.2306341,-1.3,0.01061919,92.88,1000,1000,1000,1000,,,,,,,,
150707532,-0.03779721,2.11,0.1498457,-1.31,-0.125881,92.87,1000,1000,1000,1000,,,,,,,,
